chain,address,creation_block,found_block,tx_hash,timestamp_utc,name,symbol,decimals,total_supply,has_transfer_logs,extra_json
eth,0x7c2cd804e6423b97f58fe5e22ee4b410ca84a301,23560505,23560505,3dbf96f526ce73c5cc3e31dd6bbd3c6277d7577469760ac0fe32a0c03f638b59,2025-10-12T08:39:35+00:00,ETH,ETH,18,115792089237316195423570985008687907853269984665640564039457584007913129639935,0,"{""transfer_log_count"": 0}"
eth,0x311b1e28f88fd1ff5a7819f6ef3242158bed6372,23560506,23560506,b1c603d77c797a27c81a770c926c05861e8cc78a773c41e4cfc85d63448b1eff,2025-10-12T08:39:47+00:00,Tether USD,USDT,6,97761403383804361,0,"{""transfer_log_count"": 0}"
eth,0xc504e4331051a6df4e1b6ed7370ea90b52d007db,23560508,23560508,7106ee627e095dc72667372c0854bcc90574f2bb4b2a5f014e741738eed09dcb,2025-10-12T08:40:11+00:00,USD Coin,USDC,6,47366507314839528,0,"{""transfer_log_count"": 0}"
eth,0xba878609b783e00e47266edb14d4957c7ecc80b1,23560510,23560510,37e09a2b3e95e6840f55df8d5108384cadc41fe0b7ea263fc02576548986c684,2025-10-12T08:40:35+00:00,USDS Stablecoin,USDS,18,4300560820297698628567939564,0,"{""transfer_log_count"": 0}"
eth,0xd03e6b6c2499876a46dd6bb763dad133b8f3cfe6,23560511,23560511,0d16193c12682525fcd5367d9f17e5eacee133d308432f62e6140040925f4664,2025-10-12T08:40:47+00:00,Dai Stablecoin,DAI,18,4627584121103191708092140034,0,"{""transfer_log_count"": 0}"
eth,0xe57c1eadb299d8746ebe715377f07ee742a1008f,23560512,23560512,0e52b32922d45366811a403436a786239002a61be2bb247bd4fe7391bb6133f0,2025-10-12T08:40:59+00:00,World Liberty Financial USD,USD1,18,409608875731536059888156376,0,"{""transfer_log_count"": 0}"
eth,0x1f986926e909f06dd1abfa3b564f71177cbd0637,23560513,23560513,b79b80d14660d5dc953ddce924109c42a624343f3667e234dd81c070887f21ca,2025-10-12T08:41:11+00:00,PayPal USD,PYUSD,6,1916212503934596,0,"{""transfer_log_count"": 0}"
eth,0x5cb4995fc71ebcce499ae7cf4091a1afb936a79d,23560514,23560514,0f3ac1ccbf46af7bf6896e1be7812ddc9ab70bcbffb55393b9553706ec4e1298,2025-10-12T08:41:23+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x797d08cb1d6e962621d0c78e41192bbb5f92aa53,23560518,23560518,a0d342647edfb10392164cde075c7c0532511dacc9b3fd480e3693f5c6a13661,2025-10-12T08:42:11+00:00,ZERA,ZERA,18,999375033000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0xb2acc3a5bcd06189b6a9df620a325a2677f3d1a6,23560525,23560525,c8bccc932c811629ddc023155e53f5545dfcd33a1ea754ac6b9500116d922942,2025-10-12T08:43:35+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x1cd9c47cb00a1f5432a67d5ad01a799051994b52,23560526,23560526,daffb50d86bd18596c75e3daf85ca18bfe1dc95f2c3b7e5ba9be4963f767d049,2025-10-12T08:43:47+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x18ba67ca4c69a87d134e6f7969a0735e6a542fdc,23560536,23560536,552e62fda266308a55148cfbf41eeb309fed690dce76b46304026ebbe837d7b7,2025-10-12T08:45:47+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x832b93d4d4219ffe255b20e6561833707bc80a6e,23560545,23560545,fab3a4ef6205992680cfd55724987156d7a4e3c752a4ad083fa0730317060f88,2025-10-12T08:47:35+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x0bb8a787219aa86a1af942d7f36614dc4b870b22,23560576,23560576,2e7ab246467da4438d031e3446353429a58d5ac9128aa9fe6575832ff0e02464,2025-10-12T08:53:47+00:00,Chintai,CHEX,18,1000000000000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0xf23a7868c59d73f73f84feb7f8189be828ae3bd3,23560580,23560580,296afa149fcddf4b2e4a1035d20691b51ac6e62eaad077164420a3b0f3edfbd1,2025-10-12T08:54:35+00:00,Maple Frame,🍁MPFR,18,825000000000000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0x893b57e6a3ea2b67f77b2bb08fad0a54602a3c6c,23560589,23560589,96c8abc28e72b71673bb74347a749cf7117e3bed2d2831c0e800f129f836fd62,2025-10-12T08:56:23+00:00,Melange,SPICE,18,55600000000000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0x904eb96808704d0db0469640188fca86b762912b,23560634,23560634,98ee8be43703e27f28bc711beba0fe5129059a7248817cba79165c9cc64cd1f8,2025-10-12T09:05:23+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0xe9abc24900df25a2a9b0cde8a355c1b4be7b0992,23560636,23560636,8f9eb9085ae30f48834b12dba5679faac41bca332108b9af09c7339672149050,2025-10-12T09:05:47+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x2ab737ef0bc1c8e54eb9e29508cf2315be846f85,23560671,23560671,56eed43e91898e5187b6996cf73dc2463ed03d4e836651ddaa289bfb09a3357a,2025-10-12T09:12:59+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0xfb57a43ef24c486df22cfde96eb20eff49adf772,23560674,23560674,6f10b52937e39d7cc20fd452b5fdcc3adf14635bd7790e17e2e02b79e24d96e0,2025-10-12T09:13:35+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x949616039ea1ae610237756585ac0d6fcc2e962c,23560683,23560683,ba78557772528ad568ff43c0e1e8551a6e4a2911b32f9ca296ad94a1f10fcdd3,2025-10-12T09:15:23+00:00,Copper Drift,🟠CPDR,18,876000000000000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0x22667a6963ec92919e2f5398b186a45f21a5be56,23560686,23560686,00571d80c4ccb593fae15217a523aaf87d8a9eeafaba4c431f84728b311cf448,2025-10-12T09:15:59+00:00,ASNECT,ASN,18,3690000000000000000000000000,1,"{""transfer_log_count"": 1}"
eth,0xc60500fbff8a84d95a7ed429fc0ae3168d35ee95,23560702,23560702,68909219759cd4f5a545733d828add0bd546bcfe5f8f92791c572922a86e1524,2025-10-12T09:19:11+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x3226cfbf3deebc863361ec7fe41e9fc08475651f,23560705,23560705,2e47d7e86a83fe3d989f8eb9ecd2150a51c784307700ce987f6083736b2d643a,2025-10-12T09:19:47+00:00,MyToken,MTK,4,100000000,0,"{""transfer_log_count"": 0}"
eth,0x24ceb290dd1b4c6c07bbf8fc2f61e82a00197a2e,23560705,23560705,873c0ed4e63185d018b492116fffd41a43cc45aef6f04c4be5502ceb288b271d,2025-10-12T09:19:47+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0xf76db2693827335b9a6caf0977a9d0cb79d439bc,23560705,23560705,17d23ad2c45f1fee802d5ea4baa6f871ca3c0ceb94c545c2d3dd03e2396b6106,2025-10-12T09:19:47+00:00,,,,,0,"{""transfer_log_count"": 0}"
eth,0x84d1d5d0b8bc4952f63a670ba15f8041a565949c,23560708,23560708,e6de09d73b4cfeb0f2ee9e64556937593ac98d82d44f9931ba40d31dfa24461d,2025-10-12T09:20:23+00:00,MyToken,MTK,4,100000000,0,"{""transfer_log_count"": 0}"
